Make,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Year,Total Passengers,Ratio of Uninjured
Waszak Arthur B,1.0,0.0,0.0,0.0,1.0,2022,1.0,1.0
Waters,2.0,0.0,2.0,1.0,0.0,3999,3.0,0.0
Waters Peter T,1.0,1.0,0.0,0.0,0.0,2014,1.0,0.0
"Waterwings, Inc",1.0,0.0,0.0,0.0,2.0,2006,2.0,1.0
Watkins,2.0,1.0,0.0,1.0,4.0,4000,6.0,0.6666666666666666
Watkins/Monnett,1.0,0.0,1.0,0.0,0.0,1987,1.0,0.0
Watson,3.0,4.0,0.0,0.0,0.0,6000,4.0,0.0
Watson David E,1.0,0.0,0.0,0.0,1.0,2015,1.0,1.0
Wattier,1.0,0.0,0.0,0.0,1.0,2002,1.0,1.0
Watts,2.0,1.0,0.0,1.0,0.0,3984,2.0,0.0
Waxenfelter,1.0,0.0,0.0,0.0,2.0,1998,2.0,1.0
Wayland John H,1.0,0.0,0.0,1.0,0.0,2016,1.0,0.0
Wayne D. Teel,1.0,0.0,0.0,0.0,1.0,2018,1.0,1.0
Wayne Hooks,1.0,0.0,1.0,0.0,0.0,1987,1.0,0.0
Wayne Ison,1.0,0.0,1.0,0.0,0.0,1982,1.0,0.0
Wayne K. Giles,1.0,0.0,2.0,0.0,0.0,1992,2.0,0.0
Wayne Mathews,1.0,0.0,0.0,0.0,2.0,1986,2.0,1.0
Wayne Miller,1.0,0.0,0.0,0.0,1.0,2018,1.0,1.0
Wayne O Robinson,1.0,0.0,0.0,2.0,0.0,2009,2.0,0.0
Wdl,2.0,0.0,0.0,0.0,3.0,1994,3.0,1.0
Weatherhead Peter L,1.0,0.0,0.0,0.0,1.0,2009,1.0,1.0
Weatherly,90.0,10.0,7.0,16.0,61.0,185595,94.0,0.648936170212766
Weatherly Aviation Co Inc,8.0,1.0,2.0,1.0,5.0,18130,9.0,0.5555555555555556
Weatherly Aviation Company Inc,1.0,1.0,0.0,0.0,0.0,2015,1.0,0.0
Weaver,1.0,0.0,0.0,0.0,2.0,1991,2.0,1.0
Weaver David A,1.0,0.0,0.0,0.0,1.0,2017,1.0,1.0
Weaver Stanley R/Robinson Scot,1.0,0.0,2.0,0.0,0.0,2017,2.0,0.0
"Weaver, David A",1.0,0.0,0.0,1.0,0.0,2007,1.0,0.0
Webb,1.0,0.0,0.0,0.0,1.0,2013,1.0,1.0
Weber,10.0,3.0,6.0,0.0,3.0,20010,12.0,0.25
Weber-Mustang Ii,1.0,0.0,0.0,0.0,2.0,1998,2.0,1.0
Weddington,1.0,0.0,1.0,0.0,0.0,2010,1.0,0.0
Weedhopper,12.0,7.0,5.0,0.0,1.0,23811,13.0,0.07692307692307693
Weeks,1.0,2.0,0.0,0.0,0.0,1994,2.0,0.0
Wehrlen,1.0,1.0,0.0,0.0,0.0,2002,1.0,0.0
Weinberg,1.0,0.0,0.0,0.0,1.0,2009,1.0,1.0
