Make,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Year,Total Passengers,Ratio of Uninjured
Hockenbury,1.0,0.0,0.0,1.0,0.0,1993,1.0,0.0
Hocker,1.0,1.0,0.0,0.0,0.0,1991,1.0,0.0
Hodge,1.0,0.0,1.0,1.0,0.0,2006,2.0,0.0
Hodges,2.0,0.0,0.0,2.0,1.0,3982,3.0,0.3333333333333333
Hodges Samuel J,1.0,0.0,1.0,0.0,1.0,2011,2.0,0.5
Hodre-Buull-Kolb,1.0,0.0,1.0,0.0,0.0,1999,1.0,0.0
Hodson,1.0,1.0,0.0,0.0,0.0,1985,1.0,0.0
Hoffius Stowe,1.0,1.0,0.0,0.0,0.0,2014,1.0,0.0
Hoffman,2.0,2.0,0.0,0.0,0.0,4028,2.0,0.0
Hoffman David J,1.0,0.0,0.0,0.0,1.0,2022,1.0,1.0
Hoffman David K,1.0,0.0,1.0,0.0,0.0,2014,1.0,0.0
"Hoffman, Wolf, Flugzeugbau",2.0,1.0,0.0,0.0,2.0,3993,3.0,0.6666666666666666
Hoffmann,1.0,0.0,0.0,1.0,0.0,1998,1.0,0.0
Hoffmeyer,1.0,0.0,1.0,0.0,0.0,1991,1.0,0.0
Hogan,0.0,1.0,0.0,0.0,0.0,2019,1.0,0.0
Hogarty,1.0,0.0,0.0,1.0,2.0,2003,3.0,0.6666666666666666
Hoke Bobby F,1.0,0.0,0.0,2.0,0.0,2015,2.0,0.0
Holden,1.0,2.0,0.0,0.0,0.0,2003,2.0,0.0
Holden Frank Joseph,1.0,0.0,0.0,0.0,2.0,2010,2.0,1.0
Holder,1.0,1.0,0.0,0.0,0.0,1985,1.0,0.0
Holiman,1.0,0.0,1.0,0.0,0.0,1998,1.0,0.0
Holland,1.0,0.0,1.0,0.0,1.0,2008,2.0,0.5
Holland Mike,1.0,2.0,0.0,0.0,0.0,2022,2.0,0.0
Holley Carol L,1.0,0.0,0.0,0.0,1.0,2016,1.0,1.0
Hollier B C,1.0,0.0,0.0,0.0,2.0,2022,2.0,1.0
Hollman,1.0,0.0,1.0,0.0,0.0,1982,1.0,0.0
Holloman L B/Holloman E M,1.0,0.0,1.0,0.0,0.0,2012,1.0,0.0
Holloway,1.0,2.0,0.0,0.0,0.0,2006,2.0,0.0
Holm Michael J,1.0,0.0,0.0,0.0,2.0,2008,2.0,1.0
Holman/Sears,1.0,0.0,1.0,0.0,0.0,1989,1.0,0.0
Holmes,4.0,0.0,4.0,2.0,3.0,9974,9.0,0.3333333333333333
Holmes Arthur Orman,1.0,0.0,0.0,0.0,1.0,2008,1.0,1.0
Holmes Gary Don,1.0,0.0,1.0,0.0,0.0,2010,1.0,0.0
Holmes William E,1.0,0.0,0.0,1.0,0.0,2008,1.0,0.0
Holmes-Salley/Starduster Too,1.0,2.0,0.0,0.0,0.0,1992,2.0,0.0
Holmgreen,1.0,0.0,1.0,0.0,1.0,2006,2.0,0.5
Holmgreen John B,1.0,0.0,0.0,0.0,1.0,2010,1.0,1.0
Holmgren,1.0,0.0,0.0,0.0,3.0,2020,3.0,1.0
Holmlund Victor P,1.0,0.0,0.0,1.0,0.0,2014,1.0,0.0
Holscher,1.0,0.0,0.0,0.0,1.0,2006,1.0,1.0
Holsclaw,1.0,1.0,0.0,0.0,0.0,2001,1.0,0.0
Holsclaw Francis E,1.0,0.0,0.0,0.0,1.0,2009,1.0,1.0
Holst Lawrence E,1.0,0.0,1.0,0.0,0.0,2011,1.0,0.0
Holt,2.0,3.0,0.0,0.0,0.0,4001,3.0,0.0
Holt Herbert L,1.0,0.0,0.0,0.0,1.0,2010,1.0,1.0
Homebuilt,28.0,4.0,2.0,8.0,16.0,55605,30.0,0.5333333333333333
Homer,1.0,0.0,0.0,0.0,2.0,2017,2.0,1.0
Homer Davis,1.0,0.0,0.0,0.0,1.0,1993,1.0,1.0
Honda,0.0,0.0,0.0,0.0,2.0,2021,2.0,1.0
Honda Aircraft,2.0,0.0,0.0,0.0,5.0,4037,5.0,1.0
Honda Aircraft Co Llc,4.0,0.0,0.0,0.0,4.0,6061,4.0,1.0
Honda Jet,2.0,0.0,0.0,0.0,3.0,2022,3.0,1.0
Hood,2.0,0.0,0.0,1.0,1.0,3998,2.0,0.5
Hood John Sidney,1.0,0.0,0.0,0.0,1.0,2010,1.0,1.0
Hook,1.0,0.0,1.0,0.0,0.0,2013,1.0,0.0
Hooker,1.0,2.0,0.0,0.0,0.0,2006,2.0,0.0
Hooper James A,1.0,1.0,0.0,0.0,0.0,2009,1.0,0.0
Hoopes,2.0,0.0,0.0,0.0,2.0,3987,2.0,1.0
Hoover,2.0,2.0,0.0,1.0,0.0,3999,3.0,0.0
Hoover David,0.0,0.0,1.0,0.0,1.0,2016,2.0,0.5
Hoover Frank,1.0,0.0,0.0,0.0,2.0,2009,2.0,1.0
Hopkins,1.0,0.0,1.0,0.0,0.0,2005,1.0,0.0
Hopkins Buckeye Industries,1.0,0.0,1.0,1.0,0.0,1998,2.0,0.0
"Hopkins, R. And M.",1.0,0.0,0.0,0.0,1.0,1992,1.0,1.0
Hordemann,1.0,0.0,1.0,0.0,0.0,1983,1.0,0.0
Hornbeck,1.0,1.0,0.0,0.0,0.0,1999,1.0,0.0
Horne,1.0,0.0,0.0,0.0,1.0,2000,1.0,1.0
Horner-Ryan,1.0,2.0,0.0,0.0,0.0,1998,2.0,0.0
Horton,2.0,0.0,0.0,0.0,3.0,4003,3.0,1.0
Horvath,1.0,0.0,0.0,0.0,1.0,2005,1.0,1.0
Hoskins,2.0,0.0,1.0,0.0,2.0,4012,3.0,0.6666666666666666
Hoskins Craig,1.0,0.0,1.0,0.0,0.0,1999,1.0,0.0
Hoskins Lonnie F,1.0,0.0,1.0,0.0,0.0,2016,1.0,0.0
Hoskins Samuel R,1.0,0.0,0.0,0.0,2.0,2013,2.0,1.0
Hostein K/Hostein S,1.0,0.0,1.0,0.0,0.0,2017,1.0,0.0
Hoster/Volmer,1.0,0.0,0.0,0.0,1.0,1996,1.0,1.0
Houk,1.0,0.0,1.0,0.0,1.0,1986,2.0,0.5
Houston,1.0,1.0,0.0,0.0,0.0,2001,1.0,0.0
Houts,1.0,0.0,1.0,0.0,1.0,2011,2.0,0.5
Howard,3.0,0.0,0.0,0.0,4.0,6035,4.0,1.0
Howard Aircraft,5.0,1.0,0.0,0.0,7.0,10061,8.0,0.875
Howard Aircraft Corp.,15.0,2.0,1.0,0.0,30.0,27887,33.0,0.9090909090909091
Howard E. Lee,1.0,0.0,0.0,2.0,0.0,1984,2.0,0.0
Howard Harder,1.0,1.0,0.0,0.0,0.0,2002,1.0,0.0
Howard M. Shepherd,1.0,0.0,0.0,0.0,1.0,2013,1.0,1.0
Howard Steven C,1.0,0.0,0.0,0.0,1.0,2019,1.0,1.0
Howard W. Dutton,1.0,1.0,0.0,0.0,0.0,1993,1.0,0.0
Howard Whyte,1.0,0.0,1.0,0.0,0.0,2005,1.0,0.0
Howard William C,1.0,1.0,0.0,0.0,0.0,2009,1.0,0.0
Howe,1.0,0.0,0.0,1.0,0.0,1989,1.0,0.0
Howe/Wilmer,1.0,1.0,0.0,0.0,0.0,2006,1.0,0.0
Howell,1.0,0.0,1.0,0.0,1.0,2008,2.0,0.5
Howell Bob,1.0,0.0,0.0,0.0,2.0,2016,2.0,1.0
Howes,1.0,1.0,0.0,0.0,0.0,2009,1.0,0.0
Howlett,1.0,1.0,0.0,0.0,0.0,1999,1.0,0.0
Hoye,1.0,2.0,0.0,0.0,0.0,2000,2.0,0.0
Hoyle,1.0,0.0,0.0,0.0,1.0,2012,1.0,1.0
Hoyt,1.0,0.0,0.0,0.0,1.0,2006,1.0,1.0
Hrosik Gene,1.0,0.0,1.0,0.0,0.0,2011,1.0,0.0
Hruby,1.0,1.0,0.0,0.0,0.0,1994,1.0,0.0
Hubbard,1.0,0.0,0.0,2.0,0.0,2002,2.0,0.0
Hubbard William H,1.0,0.0,0.0,0.0,1.0,2016,1.0,1.0
Hubbell,1.0,0.0,0.0,0.0,1.0,2009,1.0,1.0
Huber,1.0,1.0,0.0,0.0,0.0,2004,1.0,0.0
Huber Hartmut,1.0,1.0,0.0,0.0,0.0,2009,1.0,0.0
"Hucke, Ronald L.",1.0,0.0,0.0,1.0,0.0,1994,1.0,0.0
Huddleston-Bell,1.0,0.0,0.0,2.0,0.0,1993,2.0,0.0
Huddleston/Becktold,1.0,0.0,0.0,0.0,2.0,1991,2.0,1.0
Hudson,5.0,4.0,0.0,0.0,2.0,9977,6.0,0.3333333333333333
Hudson Hiperbipe,1.0,1.0,0.0,0.0,0.0,2004,1.0,0.0
Hudspeth Shawn D,1.0,0.0,0.0,0.0,1.0,2006,1.0,1.0
Huebbe,0.0,1.0,1.0,0.0,0.0,2014,2.0,0.0
Huebner,1.0,0.0,0.0,0.0,1.0,2008,1.0,1.0
Huene,1.0,0.0,0.0,0.0,2.0,2002,2.0,1.0
Huff,5.0,0.0,1.0,1.0,4.0,9956,6.0,0.6666666666666666
Huffaher,1.0,0.0,0.0,1.0,0.0,1990,1.0,0.0
Huffman,1.0,1.0,0.0,0.0,0.0,1987,1.0,0.0
Huggles,1.0,1.0,0.0,0.0,0.0,2007,1.0,0.0
Hughes,880.0,200.0,228.0,338.0,1106.0,1846627,1872.0,0.5908119658119658
Hughes Aero,1.0,0.0,0.0,2.0,0.0,2008,2.0,0.0
Hughes Aero Corp,2.0,0.0,1.0,3.0,0.0,4032,4.0,0.0
Hughes Cassutt,1.0,1.0,0.0,0.0,0.0,1998,1.0,0.0
Hughes Charles R,1.0,0.0,1.0,0.0,0.0,2013,1.0,0.0
Hughes Helicopters Inc,3.0,0.0,0.0,1.0,4.0,6052,5.0,0.8
Hughes J/Hughes J,1.0,0.0,0.0,0.0,1.0,2010,1.0,1.0
Hughes/Helicopter Assocs Inc,1.0,0.0,0.0,0.0,5.0,2012,5.0,1.0
Hughlett,1.0,1.0,0.0,0.0,0.0,1995,1.0,0.0
Huizenga,1.0,0.0,0.0,0.0,1.0,1986,1.0,1.0
Hulle,1.0,0.0,0.0,0.0,1.0,2002,1.0,1.0
Hulliberger,2.0,0.0,0.0,1.0,1.0,3985,2.0,0.5
Humer,1.0,1.0,0.0,0.0,0.0,1984,1.0,0.0
Hummel / Finberg,1.0,0.0,0.0,0.0,1.0,2010,1.0,1.0
Hummelbird,1.0,0.0,0.0,0.0,1.0,2009,1.0,1.0
Hummer,1.0,0.0,0.0,0.0,2.0,2021,2.0,1.0
Humphreys,1.0,0.0,1.0,1.0,0.0,2001,2.0,0.0
Hundere,1.0,0.0,0.0,0.0,2.0,1998,2.0,1.0
Hundley Michael J,1.0,0.0,0.0,0.0,2.0,2016,2.0,1.0
Hunsberger,1.0,0.0,0.0,1.0,1.0,1994,2.0,0.5
Hunt,1.0,0.0,1.0,0.0,0.0,2011,1.0,0.0
Hunter,9.0,1.0,4.0,1.0,3.0,15988,9.0,0.3333333333333333
Hunter George,1.0,0.0,1.0,0.0,0.0,2017,1.0,0.0
Hunthrop,1.0,0.0,0.0,1.0,0.0,2012,1.0,0.0
Huntington,1.0,0.0,1.0,0.0,0.0,2006,1.0,0.0
Huntley,1.0,0.0,0.0,0.0,2.0,1988,2.0,1.0
Hunziker,1.0,0.0,0.0,1.0,0.0,2015,1.0,0.0
Hurd/Drifter,1.0,0.0,0.0,1.0,0.0,1988,1.0,0.0
Hurley,1.0,1.0,0.0,0.0,0.0,2005,1.0,0.0
Hurley Richard A,1.0,0.0,0.0,1.0,0.0,2011,1.0,0.0
Huston Charles D,1.0,0.0,1.0,0.0,0.0,2009,1.0,0.0
Hutchins,1.0,0.0,0.0,0.0,1.0,2000,1.0,1.0
Hutchinson Kenneth A,1.0,1.0,0.0,0.0,0.0,2011,1.0,0.0
Hutson,1.0,0.0,0.0,0.0,1.0,2020,1.0,1.0
Hutton,2.0,0.0,1.0,0.0,1.0,4009,2.0,0.5
Hutton Rand Robinson,1.0,0.0,0.0,1.0,0.0,1997,1.0,0.0
Hy-Tek,1.0,1.0,0.0,0.0,0.0,2017,1.0,0.0
Hyde,1.0,0.0,0.0,1.0,0.0,1988,1.0,0.0
Hyde William R,1.0,0.0,0.0,0.0,1.0,2011,1.0,1.0
Hélicoptères Guimbal,0.0,0.0,0.0,0.0,2.0,2021,2.0,1.0
I.C.A. Brasov,1.0,4.0,4.0,3.0,14.0,33861,25.0,0.56
Iai,8.0,2.0,0.0,0.0,10.0,8075,12.0,0.8333333333333334
Iar Sa Brasov,1.0,0.0,0.0,0.0,2.0,2004,2.0,1.0
"Icard, Claude M.",1.0,0.0,1.0,0.0,0.0,1991,1.0,0.0
Icon,3.0,0.0,0.0,1.0,6.0,8077,7.0,0.8571428571428571
Icon Aircraft Inc,3.0,3.0,0.0,0.0,2.0,6051,5.0,0.4
Icp,0.0,2.0,1.0,0.0,0.0,4037,3.0,0.0
Icp Srl,1.0,0.0,0.0,0.0,1.0,2022,1.0,1.0
Illi,1.0,1.0,0.0,0.0,0.0,1990,1.0,0.0
Ilyushin,4.0,2.0,0.0,1.0,249.0,4013,252.0,0.9880952380952381
Inav,1.0,0.0,0.0,0.0,1.0,1986,1.0,1.0
Independent Technologies Inc,1.0,2.0,0.0,0.0,0.0,2016,2.0,0.0
Indonesian Aerospace,2.0,5.0,0.0,0.0,0.0,2011,5.0,0.0
Indus,1.0,0.0,1.0,1.0,0.0,2007,2.0,0.0
Indus Aviation,1.0,0.0,0.0,0.0,1.0,2006,1.0,1.0
Indus Aviation Inc,1.0,0.0,0.0,0.0,1.0,2008,1.0,1.0
Indus Aviation Inc.,1.0,0.0,0.0,0.0,1.0,2014,1.0,1.0
Indy Aircraft Ltd,1.0,0.0,0.0,1.0,0.0,2008,1.0,0.0
Infinity,7.0,0.0,8.0,5.0,0.0,14064,13.0,0.0
Infinity Power Parachutes,1.0,1.0,0.0,0.0,0.0,2019,1.0,0.0
Infinity Power Parachutes Llc,1.0,0.0,1.0,1.0,0.0,2012,2.0,0.0
Ingraham,1.0,1.0,0.0,0.0,0.0,2007,1.0,0.0
Inhofe/ Davis,1.0,0.0,0.0,0.0,2.0,2011,2.0,1.0
Iniziative,1.0,0.0,0.0,0.0,2.0,2009,2.0,1.0
Iniziative Industriali Italian,5.0,2.0,0.0,1.0,4.0,10046,7.0,0.5714285714285714
Inman,1.0,0.0,1.0,0.0,0.0,1994,1.0,0.0
Inman J D,1.0,0.0,0.0,1.0,0.0,2009,1.0,0.0
Innovator,1.0,1.0,0.0,0.0,0.0,2020,1.0,0.0
Innovator Technologies,1.0,0.0,0.0,1.0,0.0,2013,1.0,0.0
Insua,1.0,0.0,0.0,0.0,2.0,1995,2.0,1.0
Interavia,3.0,2.0,0.0,1.0,0.0,6008,3.0,0.0
Intermountain Mfg. (Imco),6.0,1.0,0.0,2.0,5.0,11927,8.0,0.625
Interplane,4.0,0.0,2.0,0.0,3.0,8027,5.0,0.6
Interplane Llc,1.0,1.0,1.0,0.0,0.0,2003,2.0,0.0
Interplane S R O,1.0,2.0,0.0,0.0,0.0,2011,2.0,0.0
Interplane Sro,1.0,0.0,2.0,0.0,0.0,2005,2.0,0.0
Interstate,20.0,7.0,4.0,4.0,14.0,39942,29.0,0.4827586206896552
Intl Ultralight,1.0,1.0,0.0,0.0,0.0,1983,1.0,0.0
Ireneusz,1.0,1.0,0.0,1.0,0.0,1998,2.0,0.0
Irlbeck Thomas H,1.0,0.0,0.0,0.0,2.0,2018,2.0,1.0
Irvin Stephen D,1.0,0.0,0.0,0.0,1.0,2018,1.0,1.0
Irving Siewert,1.0,1.0,0.0,0.0,0.0,1993,1.0,0.0
Irwin,2.0,0.0,0.0,0.0,2.0,4007,2.0,1.0
Isaacson,1.0,0.0,2.0,0.0,0.0,1995,2.0,0.0
Isaak Paul G,1.0,0.0,0.0,2.0,0.0,2013,2.0,0.0
Iseman,1.0,0.0,0.0,1.0,0.0,1993,1.0,0.0
Isgrigg,1.0,0.0,0.0,1.0,0.0,1987,1.0,0.0
Ismari,1.0,0.0,0.0,0.0,1.0,1999,1.0,1.0
Ison Aircraft,1.0,0.0,0.0,0.0,1.0,2012,1.0,1.0
Israel Aerospace Industriesltd,2.0,0.0,0.0,0.0,5.0,2021,5.0,1.0
Israel Aircraft Industries,57.0,50.0,6.0,7.0,123.0,72053,186.0,0.6612903225806451
Issitt,1.0,1.0,0.0,0.0,0.0,2021,1.0,0.0
Issoire-Aviation,3.0,1.0,1.0,0.0,1.0,5991,3.0,0.3333333333333333
Istenes,1.0,0.0,1.0,0.0,0.0,1984,1.0,0.0
Istvanick,1.0,0.0,0.0,1.0,0.0,1985,1.0,0.0
Itec Inc,1.0,0.0,1.0,1.0,0.0,2014,2.0,0.0
Iv Inc.,1.0,2.0,1.0,0.0,0.0,2002,3.0,0.0
Ivan Langston,1.0,1.0,0.0,0.0,0.0,1997,1.0,0.0
Iversen,1.0,3.0,0.0,0.0,0.0,2008,3.0,0.0
Iverslie,1.0,0.0,0.0,0.0,1.0,1997,1.0,1.0
Ives,1.0,1.0,0.0,0.0,0.0,1999,1.0,0.0
Izatt,1.0,0.0,1.0,0.0,0.0,2000,1.0,0.0
J And J,1.0,1.0,0.0,0.0,0.0,2000,1.0,0.0
J&J Ultralights,2.0,0.0,0.0,2.0,0.0,4028,2.0,0.0
J. E. Douglas,1.0,0.0,0.0,2.0,0.0,2008,2.0,0.0
J. Roberts,1.0,0.0,1.0,0.0,0.0,1983,1.0,0.0
J. Schilling,1.0,0.0,0.0,0.0,1.0,2015,1.0,1.0
J.A.Mullan,1.0,0.0,1.0,0.0,0.0,1982,1.0,0.0
"J.D. Calhoun, Inc.",1.0,1.0,1.0,0.0,0.0,2004,2.0,0.0
"Jabat, Inc.",1.0,0.0,0.0,0.0,1.0,2004,1.0,1.0
Jabiru,8.0,0.0,1.0,0.0,10.0,16128,11.0,0.9090909090909091
Jabiru Aircraft,1.0,0.0,0.0,1.0,0.0,2005,1.0,0.0
Jabiru Aircraft Pty Ltd,1.0,0.0,1.0,0.0,0.0,2021,1.0,0.0
Jabiru Usa Sport Aircraft,1.0,0.0,0.0,1.0,0.0,2021,1.0,0.0
Jabiru Usa Sport Aircraft Llc,9.0,0.0,2.0,1.0,11.0,18146,14.0,0.7857142857142857
"Jabiru Usa Sport Aircraft, Llc",1.0,1.0,0.0,0.0,0.0,2012,1.0,0.0
Jacanin,1.0,0.0,1.0,0.0,0.0,1992,1.0,0.0
Jack A Frohbieter,1.0,0.0,0.0,0.0,1.0,2021,1.0,1.0
Jack Boldt,1.0,0.0,0.0,1.0,0.0,1985,1.0,0.0
Jack Fehling,1.0,0.0,0.0,0.0,1.0,2016,1.0,1.0
Jack L. Bigham,1.0,0.0,0.0,0.0,1.0,1984,1.0,1.0
Jack Mcdaniel,1.0,0.0,1.0,0.0,3.0,4001,4.0,0.75
Jack Thomas,1.0,1.0,0.0,0.0,0.0,1991,1.0,0.0
Jackie,1.0,0.0,0.0,1.0,0.0,2002,1.0,0.0
Jackman,2.0,0.0,0.0,0.0,2.0,3983,2.0,1.0
Jackovich,1.0,0.0,0.0,0.0,1.0,2002,1.0,1.0
Jackson,6.0,0.0,0.0,4.0,5.0,12039,9.0,0.5555555555555556
Jackson Dennis,1.0,2.0,0.0,0.0,0.0,2022,2.0,0.0
Jackson Fred M,1.0,0.0,0.0,0.0,1.0,2014,1.0,1.0
Jackson Jeremiah D,1.0,0.0,1.0,0.0,0.0,2014,1.0,0.0
Jacob Tussel,1.0,1.0,0.0,0.0,0.0,1998,1.0,0.0
Jacobs,3.0,1.0,0.0,0.0,2.0,6015,3.0,0.6666666666666666
Jacobson,1.0,0.0,0.0,0.0,1.0,1994,1.0,1.0
Jacques J. Mistrot,1.0,1.0,0.0,0.0,0.0,2001,1.0,0.0
Jacquneaux Glen R,1.0,0.0,0.0,0.0,1.0,2022,1.0,1.0
Jaeger,1.0,0.0,0.0,1.0,0.0,1998,1.0,0.0
Jagger,1.0,0.0,2.0,0.0,0.0,1987,2.0,0.0
Jahnke Lionel G,1.0,1.0,0.0,0.0,0.0,2021,1.0,0.0
Jahns,2.0,1.0,0.0,0.0,1.0,4014,2.0,0.5
Jakel,1.0,0.0,0.0,0.0,2.0,1984,2.0,1.0
Jaks,1.0,0.0,0.0,0.0,1.0,1986,1.0,1.0
Jal R Dennis,1.0,0.0,2.0,0.0,0.0,2015,2.0,0.0
James,0.0,0.0,0.0,2.0,0.0,2019,2.0,0.0
James A Gray,1.0,0.0,0.0,0.0,1.0,2019,1.0,1.0
James A Nelson,1.0,0.0,0.0,0.0,1.0,1990,1.0,1.0
James B. Edwards,1.0,1.0,0.0,0.0,0.0,1994,1.0,0.0
James B. Taplin,1.0,2.0,0.0,0.0,0.0,2009,2.0,0.0
James Browning,1.0,0.0,0.0,1.0,0.0,2000,1.0,0.0
James Bruton,1.0,0.0,0.0,1.0,0.0,2016,1.0,0.0
James C Geyman,1.0,0.0,0.0,1.0,0.0,2022,1.0,0.0
James Chisum,1.0,0.0,0.0,0.0,1.0,1994,1.0,1.0
James Cote,1.0,1.0,0.0,0.0,0.0,1990,1.0,0.0
James D Riggs,1.0,0.0,1.0,1.0,0.0,2017,2.0,0.0
James D. Bierly,1.0,0.0,0.0,0.0,1.0,1992,1.0,1.0
James D. Riehm,1.0,1.0,0.0,0.0,0.0,1992,1.0,0.0
James D. Smith,1.0,0.0,0.0,0.0,3.0,2001,3.0,1.0
James Dayton,1.0,0.0,0.0,0.0,1.0,2008,1.0,1.0
James Donald Baker,1.0,1.0,0.0,0.0,0.0,2018,1.0,0.0
James E Causey,1.0,2.0,0.0,0.0,0.0,2018,2.0,0.0
James Eggleston,1.0,0.0,0.0,0.0,1.0,1989,1.0,1.0
James F Hake,1.0,0.0,1.0,0.0,0.0,2017,1.0,0.0
James Gress,1.0,0.0,0.0,1.0,0.0,1985,1.0,0.0
James H Berard,1.0,0.0,1.0,0.0,0.0,2012,1.0,0.0
James Houston,1.0,0.0,1.0,0.0,0.0,1992,1.0,0.0
James J. Dean,1.0,0.0,0.0,0.0,1.0,1992,1.0,1.0
James Kilroy,1.0,0.0,0.0,1.0,0.0,2015,1.0,0.0
James L. Stringfellow,1.0,0.0,0.0,1.0,0.0,2007,1.0,0.0
James M Raulerson,1.0,0.0,0.0,0.0,2.0,2017,2.0,1.0
James O'Bert,1.0,1.0,0.0,0.0,0.0,2009,1.0,0.0
James Olivier,1.0,1.0,0.0,0.0,0.0,1986,1.0,0.0
James Postlewait,1.0,2.0,0.0,0.0,0.0,1985,2.0,0.0
James R Dernovsek,1.0,0.0,0.0,0.0,1.0,2022,1.0,1.0
James R. Prideaux,1.0,0.0,0.0,0.0,1.0,1992,1.0,1.0
James Schwarzman,1.0,0.0,0.0,0.0,1.0,1992,1.0,1.0
James Snyder,1.0,0.0,0.0,0.0,1.0,1992,1.0,1.0
James Walter,1.0,1.0,0.0,0.0,0.0,2007,1.0,0.0
James Wiebe,1.0,0.0,1.0,0.0,0.0,2018,1.0,0.0
James/Viking,1.0,0.0,0.0,0.0,1.0,1985,1.0,1.0
Jannakos Gregory P,1.0,0.0,0.0,0.0,1.0,2014,1.0,1.0
Jans Robert,1.0,0.0,0.0,1.0,0.0,2013,1.0,0.0
Jansen,1.0,1.0,0.0,0.0,0.0,2017,1.0,0.0
Jantzen,1.0,0.0,0.0,1.0,0.0,2011,1.0,0.0
Jaquish,1.0,0.0,1.0,0.0,0.0,1997,1.0,0.0
Jarrell,1.0,1.0,0.0,0.0,0.0,1992,1.0,0.0
Jasper,1.0,0.0,0.0,0.0,1.0,1999,1.0,1.0
Jauch,2.0,1.0,0.0,1.0,0.0,3972,2.0,0.0
Javelin Aircraft,1.0,2.0,0.0,0.0,0.0,1983,2.0,0.0
Javron,0.0,0.0,0.0,0.0,2.0,2019,2.0,1.0
Javron Experimental,1.0,0.0,1.0,0.0,0.0,2022,1.0,0.0
Jdt,2.0,1.0,0.0,0.0,1.0,4025,2.0,0.5
Jdt Mini-Max Llc,1.0,1.0,0.0,0.0,0.0,2012,1.0,0.0
Jeff Jardine,1.0,0.0,0.0,0.0,2.0,2017,2.0,1.0
Jeff Pierson,1.0,1.0,0.0,0.0,0.0,1990,1.0,0.0
Jeffair,1.0,0.0,0.0,0.0,2.0,2012,2.0,1.0
Jeffery D Tuttle,1.0,0.0,0.0,1.0,0.0,2016,1.0,0.0
Jeffko,1.0,1.0,0.0,0.0,0.0,2012,1.0,0.0
Jeffrey Wilson,1.0,0.0,0.0,0.0,2.0,2007,2.0,1.0
Jeffs,1.0,0.0,0.0,0.0,2.0,2005,2.0,1.0
Jenkins,5.0,2.0,2.0,2.0,1.0,9972,7.0,0.14285714285714285
Jenkins Jack,1.0,0.0,0.0,0.0,1.0,2009,1.0,1.0
Jenks,1.0,0.0,0.0,0.0,1.0,1994,1.0,1.0
Jennings,1.0,0.0,0.0,0.0,1.0,1989,1.0,1.0
Jennings John C,1.0,1.0,0.0,0.0,0.0,2011,1.0,0.0
Jerald F. Huffman,1.0,0.0,0.0,0.0,1.0,2006,1.0,1.0
Jere L. Rosser,1.0,1.0,0.0,0.0,0.0,1986,1.0,0.0
Jeremiah Jackson,1.0,0.0,1.0,0.0,0.0,2013,1.0,0.0
Jerome,1.0,0.0,0.0,1.0,0.0,2004,1.0,0.0
Jerome A Baak,0.0,0.0,1.0,0.0,0.0,2014,1.0,0.0
Jerome D Fischer,1.0,0.0,1.0,0.0,0.0,2015,1.0,0.0
Jerome Dodge,1.0,1.0,0.0,0.0,0.0,1986,1.0,0.0
Jerome Wells,1.0,0.0,0.0,1.0,1.0,2001,2.0,0.5
Jerrell,1.0,1.0,0.0,1.0,0.0,1991,2.0,0.0
Jerry Berry,1.0,0.0,0.0,0.0,1.0,1986,1.0,1.0
Jerry Cox,1.0,0.0,1.0,0.0,0.0,1986,1.0,0.0
Jerry D. Fish,1.0,1.0,0.0,0.0,0.0,1984,1.0,0.0
Jerry Garrison,1.0,0.0,0.0,0.0,1.0,2004,1.0,1.0
Jeska,1.0,0.0,0.0,0.0,2.0,2005,2.0,1.0
Jess Llc,1.0,0.0,0.0,0.0,2.0,2017,2.0,1.0
Jesse Knight,1.0,1.0,0.0,0.0,0.0,1991,1.0,0.0
Jesse Saint/Troy Townsend/Etha,1.0,0.0,1.0,0.0,1.0,2016,2.0,0.5
Jetprop Dlx Piper,1.0,2.0,0.0,0.0,0.0,2010,2.0,0.0
Jetson'S Aviation Llc,2.0,0.0,0.0,0.0,1.0,2018,1.0,1.0
Jetstream,6.0,23.0,0.0,3.0,18.0,5987,44.0,0.4090909090909091
Jett,1.0,1.0,0.0,0.0,0.0,1984,1.0,0.0
Jewett,1.0,0.0,1.0,0.0,1.0,2020,2.0,0.5
Jewett Brandon,1.0,0.0,0.0,0.0,1.0,2016,1.0,1.0
Jihlavan,4.0,0.0,1.0,1.0,4.0,8032,6.0,0.6666666666666666
Jihlavan Airplanes Sro,2.0,2.0,0.0,0.0,2.0,4035,4.0,0.5
Jilek-Smith Miniplane,1.0,1.0,0.0,0.0,0.0,1983,1.0,0.0
Jim Braddock,1.0,0.0,1.0,1.0,0.0,2013,2.0,0.0
Jim Elliott,1.0,0.0,0.0,0.0,1.0,1986,1.0,1.0
Jim Garrison,1.0,0.0,1.0,0.0,0.0,2007,1.0,0.0
Jim Green,1.0,0.0,0.0,0.0,2.0,2018,2.0,1.0
Jim Mckinstry,1.0,1.0,0.0,0.0,0.0,1985,1.0,0.0
Jim Riggs,1.0,0.0,0.0,0.0,1.0,2016,1.0,1.0
Jim Weseman,1.0,0.0,1.0,0.0,0.0,2000,1.0,0.0
Jimenez,1.0,0.0,2.0,0.0,0.0,2015,2.0,0.0
